prediction,ID
0,0
1,1
1,2
1,3
0,4
0,5
1,6
1,7
0,8
1,9
0,10
1,11
1,12
1,13
0,14
0,15
0,16
0,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
0,25
1,26
1,27
1,28
0,29
1,30
0,31
1,32
1,33
0,34
0,35
1,36
1,37
0,38
1,39
1,40
0,41
1,42
1,43
1,44
1,45
1,46
0,47
0,48
0,49
1,50
0,51
1,52
0,53
0,54
0,55
1,56
1,57
0,58
1,59
0,60
0,61
1,62
1,63
1,64
1,65
0,66
1,67
0,68
0,69
1,70
1,71
1,72
0,73
1,74
1,75
0,76
1,77
0,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
0,86
1,87
0,88
1,89
0,90
0,91
0,92
1,93
1,94
1,95
0,96
1,97
0,98
1,99
1,100
0,101
0,102
1,103
1,104
1,105
1,106
1,107
1,108
0,109
1,110
0,111
1,112
0,113
1,114
1,115
1,116
1,117
1,118
0,119
0,120
0,121
1,122
0,123
1,124
0,125
1,126
0,127
1,128
0,129
1,130
0,131
1,132
0,133
0,134
1,135
0,136
1,137
1,138
1,139
1,140
0,141
0,142
1,143
1,144
0,145
1,146
0,147
1,148
1,149
0,150
1,151
1,152
1,153
0,154
0,155
0,156
1,157
0,158
1,159
0,160
1,161
0,162
0,163
0,164
1,165
0,166
1,167
0,168
1,169
0,170
1,171
0,172
1,173
1,174
0,175
1,176
1,177
0,178
1,179
1,180
0,181
1,182
0,183
1,184
1,185
1,186
0,187
1,188
0,189
1,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
1,198
0,199
0,200
0,201
0,202
0,203
0,204
1,205
0,206
0,207
1,208
1,209
0,210
0,211
0,212
1,213
1,214
1,215
0,216
1,217
0,218
1,219
0,220
1,221
0,222
1,223
0,224
0,225
1,226
0,227
1,228
1,229
0,230
0,231
0,232
1,233
1,234
0,235
1,236
1,237
0,238
0,239
0,240
1,241
1,242
1,243
1,244
1,245
0,246
1,247
0,248
1,249
1,250
1,251
1,252
0,253
0,254
1,255
0,256
1,257
1,258
1,259
1,260
1,261
1,262
0,263
0,264
0,265
1,266
0,267
0,268
1,269
0,270
0,271
1,272
1,273
1,274
0,275
1,276
1,277
1,278
1,279
1,280
0,281
1,282
1,283
1,284
0,285
0,286
0,287
0,288
1,289
1,290
1,291
0,292
0,293
1,294
1,295
0,296
1,297
0,298
0,299
0,300
1,301
1,302
1,303
1,304
0,305
1,306
0,307
1,308
0,309
1,310
1,311
1,312
1,313
1,314
0,315
0,316
0,317
1,318
0,319
1,320
0,321
0,322
1,323
0,324
1,325
0,326
0,327
0,328
1,329
0,330
0,331
0,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
1,340
1,341
0,342
1,343
0,344
0,345
1,346
0,347
0,348
0,349
1,350
1,351
1,352
0,353
0,354
1,355
1,356
0,357
1,358
0,359
1,360
0,361
0,362
1,363
1,364
1,365
0,366
1,367
0,368
1,369
1,370
0,371
0,372
0,373
0,374
0,375
0,376
1,377
0,378
0,379
0,380
1,381
0,382
1,383
1,384
0,385
0,386
0,387
1,388
1,389
1,390
0,391
0,392
0,393
0,394
1,395
1,396
1,397
0,398
1,399
0,400
0,401
1,402
1,403
1,404
1,405
0,406
0,407
0,408
0,409
1,410
0,411
1,412
1,413
0,414
0,415
0,416
0,417
1,418
0,419
0,420
1,421
1,422
0,423
1,424
0,425
1,426
1,427
1,428
1,429
1,430
0,431
1,432
0,433
1,434
0,435
1,436
1,437
1,438
1,439
1,440
1,441
0,442
1,443
0,444
1,445
1,446
1,447
1,448
1,449
1,450
0,451
1,452
0,453
0,454
0,455
0,456
0,457
1,458
0,459
0,460
0,461
0,462
1,463
1,464
1,465
1,466
1,467
0,468
0,469
1,470
0,471
1,472
0,473
1,474
0,475
0,476
0,477
1,478
1,479
1,480
1,481
0,482
1,483
1,484
0,485
0,486
1,487
1,488
1,489
0,490
1,491
0,492
1,493
1,494
1,495
0,496
0,497
1,498
1,499
1,500
1,501
1,502
1,503
1,504
0,505
1,506
0,507
0,508
1,509
0,510
0,511
1,512
0,513
0,514
0,515
0,516
1,517
0,518
1,519
0,520
0,521
0,522
1,523
0,524
1,525
0,526
1,527
0,528
1,529
1,530
1,531
1,532
0,533
1,534
1,535
0,536
1,537
1,538
0,539
0,540
0,541
1,542
1,543
1,544
1,545
1,546
1,547
1,548
0,549
0,550
1,551
0,552
1,553
0,554
0,555
1,556
0,557
1,558
1,559
0,560
1,561
1,562
1,563
0,564
1,565
1,566
1,567
1,568
0,569
0,570
1,571
0,572
1,573
1,574
1,575
1,576
1,577
1,578
0,579
0,580
0,581
0,582
1,583
1,584
1,585
0,586
1,587
1,588
1,589
0,590
0,591
1,592
0,593
0,594
1,595
1,596
1,597
1,598
1,599
1,600
0,601
0,602
0,603
1,604
1,605
1,606
1,607
0,608
0,609
1,610
1,611
0,612
1,613
1,614
0,615
1,616
0,617
1,618
1,619
1,620
1,621
1,622
1,623
1,624
1,625
0,626
1,627
1,628
0,629
0,630
0,631
0,632
0,633
0,634
1,635
0,636
1,637
0,638
1,639
0,640
1,641
1,642
1,643
1,644
0,645
1,646
1,647
1,648
0,649
1,650
1,651
1,652
1,653
0,654
1,655
0,656
0,657
1,658
0,659
0,660
0,661
1,662
0,663
1,664
1,665
0,666
0,667
0,668
0,669
1,670
1,671
1,672
0,673
1,674
0,675
0,676
1,677
0,678
1,679
0,680
0,681
1,682
1,683
1,684
0,685
1,686
1,687
0,688
1,689
1,690
0,691
0,692
0,693
1,694
1,695
0,696
1,697
0,698
1,699
1,700
0,701
1,702
1,703
1,704
1,705
0,706
1,707
1,708
1,709
1,710
1,711
1,712
1,713
0,714
1,715
1,716
0,717
1,718
1,719
1,720
0,721
1,722
0,723
1,724
1,725
1,726
1,727
1,728
0,729
1,730
0,731
1,732
0,733
0,734
0,735
1,736
0,737
0,738
1,739
0,740
1,741
1,742
1,743
1,744
0,745
0,746
1,747
1,748
1,749
0,750
0,751
1,752
1,753
0,754
1,755
0,756
1,757
0,758
1,759
0,760
1,761
1,762
1,763
0,764
1,765
0,766
1,767
1,768
1,769
0,770
1,771
0,772
0,773
1,774
1,775
1,776
0,777
0,778
0,779
0,780
1,781
1,782
1,783
1,784
1,785
1,786
1,787
0,788
0,789
1,790
1,791
0,792
1,793
1,794
0,795
0,796
1,797
1,798
0,799
1,800
1,801
0,802
1,803
1,804
0,805
1,806
1,807
0,808
0,809
0,810
0,811
0,812
0,813
1,814
1,815
1,816
1,817
1,818
0,819
1,820
1,821
0,822
1,823
1,824
1,825
0,826
0,827
1,828
1,829
1,830
0,831
0,832
1,833
0,834
1,835
0,836
1,837
0,838
0,839
0,840
0,841
0,842
1,843
1,844
1,845
0,846
1,847
1,848
1,849
0,850
0,851
0,852
1,853
0,854
1,855
1,856
1,857
0,858
1,859
1,860
0,861
0,862
1,863
1,864
0,865
0,866
0,867
0,868
1,869
1,870
1,871
1,872
0,873
1,874
1,875
1,876
1,877
1,878
0,879
1,880
1,881
0,882
0,883
0,884
0,885
0,886
1,887
1,888
1,889
0,890
1,891
1,892
0,893
1,894
0,895
1,896
1,897
0,898
0,899
1,900
0,901
0,902
1,903
1,904
1,905
0,906
1,907
1,908
1,909
1,910
1,911
1,912
1,913
0,914
0,915
1,916
0,917
0,918
1,919
0,920
1,921
0,922
1,923
1,924
1,925
1,926
1,927
1,928
1,929
1,930
1,931
1,932
1,933
1,934
1,935
0,936
0,937
0,938
0,939
1,940
0,941
1,942
0,943
1,944
1,945
1,946
0,947
0,948
1,949
1,950
1,951
1,952
1,953
0,954
0,955
0,956
0,957
0,958
1,959
0,960
1,961
1,962
0,963
0,964
0,965
0,966
1,967
0,968
1,969
1,970
1,971
1,972
1,973
0,974
1,975
1,976
0,977
1,978
1,979
1,980
1,981
1,982
1,983
1,984
0,985
0,986
1,987
0,988
1,989
1,990
0,991
0,992
0,993
1,994
1,995
1,996
1,997
1,998
1,999
1,1000
1,1001
0,1002
1,1003
1,1004
1,1005
0,1006
0,1007
0,1008
1,1009
1,1010
0,1011
0,1012
1,1013
0,1014
1,1015
1,1016
1,1017
0,1018
1,1019
1,1020
1,1021
0,1022
0,1023
0,1024
1,1025
1,1026
1,1027
1,1028
1,1029
0,1030
1,1031
1,1032
1,1033
1,1034
1,1035
1,1036
0,1037
1,1038
0,1039
0,1040
1,1041
0,1042
1,1043
0,1044
1,1045
1,1046
1,1047
1,1048
1,1049
0,1050
0,1051
0,1052
1,1053
1,1054
1,1055
1,1056
1,1057
1,1058
1,1059
1,1060
